pc,code,ProjectNumber,ProjectLeader,plna1,Division,Participating,ProjectTitle,Sponsor,StartingDate,FinishDate,Extension,Cost,Status,Expertise_1,Expertise_2,Expertise_3,Expertise_4,Expertise_5,Expertise_6,Expertise_7,Expertise_8,Expertise_9,Expertise_10,,,,,,,,
CNP,2,2352,TB,T. Banerji,MZC,EM,Short Term Plan For Cleanup Of Nallah Wastewater In Ulhasnagar By Sustainable And Natural Processes,"Ulhasnagar Municipal Corporation, Ulhasnagar",43191,44104,,2 35624,ONG,Environmental Engineering,Water Quality Analysis,Wastewater Treatment,Environmental Microbiology,Hydrology And Drainage Systems,Ecosystem Restoration,Environmental Impact Assessment,Stakeholder Engagement And Communication,Project Management,Nil,,,,,,,,
CNP,2,2353,"ST, RV, S","S. Tandon, R. Vijay, Sunayana",MZC,EM,"Terrestrial Environmental Impact Assessment Associated With The Proposed Reclamation In Sea For Development Of Garden/park At Cuffe Parade (betwwen Nariman Point And Geeta Nagar, Western Coast Of Mumbai South City)","Municipal Ccorporation Of Brihan Mumbai, Mumbai",43112,44196,,125,ONG,Environmental Science,Environmental Impact Assessment,Terrestrial Ecology,Habitat Assessment And Restoration,Vegetation And Tree Assessment,Soil Science And Land Management,Stakeholder Engagement And Community Participation,Environmental Regulations And Compliance,Project Management,Nil,,,,,,,,
CNP,7,2354,SK,S. Kumar,SHWM,SHWM,"Independent Engineer Service For Integrated Solid Waste Management Project, Rewa (m.p.)","Feedback Infra Pvt. Ltd., Gurgaon",43221,44681,,4 2,ONG,Solid Waste Management,Waste Management Infrastructure,Environmental Engineering,Project Management,Environmental Regulations And Compliance,Technical Evaluation And Due Diligence,Wildlife Management,Stakeholder Engagement And Community Participation,Environmental Regulations And Compliance,Project Management,,,,,,,,
CNP,7,2355,"RK, PRT","R. Karthik, P. R. Thawale",EBGD,Nil,Monitoring And Assessment Of High Rate Transpiration System For Land Treatment And Disposal Of Effluent From Kspg Automotive Pvt. Ltd.,"Kspg Automotive Pvt. Ltd., Supa, Ahmednagar",43234,43598,43903,7388,ONG,Environmental Engineering,Wastewater Treatment,Soil Science And Land Treatment Systems,Water Quality Analysis,Crop Science And Agricultural Practices,Hydrology And Irrigation,Contract Management,Financial Analysis,Stakeholder Engagement And Communication,Reporting And Documentation,,,,,,,,
CNP,2,2356,MSK,M.S.Kumar,EISD,EIA,Comprehensive Environmental Impact Assessment Report For Bhadbhut Barrage Project Across River Narmada,"Narmada, Water Resources, Water Supply & Kalpasar Department",43252,44347,45291,140,ONG,Environmental Science,Environmental Impact Assessment,Hydrology And Water Resources,Ecological Impact Assessment,Socioeconomic Impact Assessment,Environmental Planning And Management,Environmental Monitoring And Data Analysis,Regulatory Compliance,Reporting And Communication,Nil,,,,,,,,
CNP,7,2357,SKG,S. K. Goyal,DZC,Nil,Eia For Expansion To 60 Mmtpa Refinery-beq Study,"Nayara Energy Ltd., Devbhoomi, Dwarka, Gujarat",43191,43830,,45,ONG,Environmental Science,Environmental Impact Assessment,Air Quality Assessment,Water And Wastewater Management,Soil And Contaminated Land Assessment,Noise And Vibration Assessment,Environmental Modeling And Data Analysis,Stakeholder Engagement And Public Participation,Report Writing And Communication,Nil,,,,,,,,
CNP,1,2358,RV,R. Vijay,WWT,WT,Setting Up Of Etp And Stp In Csir - Iiim Jammu Campus,"Csir - Iiim, Jammu",43235,44561,,5 62034,ONG,Wastewater Treatment,Effluent Treatment Plant,Sewage Treatment Plant,Water Quality Analysis,Environmental Engineering,Regulatory Compliance,Environmental Planning And Management,Stakeholder Engagement And Public Consultation,Report Writing And Communication,Nil,,,,,,,,
CNP,2,2359,"SK, KK","S. Kumar, K. Kumari","SHWM, EISD",SHWM,"Study Of Current Status Of Pollution (water, Sound And Soil) In Patna","Bihar State Disaster Management Authority, Patna",43221,43585,44804,41,ONG,Environmental Science,Water Quality Analysis,Air Quality Monitoring,Soil Quality Assessment,Noise Pollution Assessment,Data Analysis And Interpretation,Project Management,Maintenance And Operations,Environmental Health And Safety,Stakeholder Engagement,,,,,,,,
CNP,3,2360,IG,I. Gupta,MZC,EM,"Voc Validation Of Mrep, Hpcl, Mahul","Hindustan Petroleum Corporation Ltd., Mumbai",43344,43921,44316,2 5,ONG,Volatile Organic Compounds,Air Quality Monitoring,Emission Inventory,Sampling And Analysis,Quality Assurance And Control,Regulatory Compliance,Environmental Regulations And Standards,Geographic Information Systems,Report Writing And Communication,Stakeholder Engagement,,,,,,,,
CNP,7,2361,"NL, AG","N. Labhasetwar, A. Gupta",ERMD,APWTM,"Addressing Indoor Air And Water Contamination Problems In Select Rural Areas Of Amravati District, Maharashtra","Triangle Ventures Pvt. Ltd., Nagpur",43263,44012,44742,31.63,ONG,Indoor Air Quality,Water Quality Assessment,Environmental Health,Environmental Sampling And Analysis,Public Health And Community Engagement,Environmental Regulations And Standards,Data Analysis And Interpretation,Reporting And Communication,Stakeholder Engagement,Nil,,,,,,,,
CNP,7,2362,MSK,M.S.Kumar,EISD,EISD,Environmental Impact Assessment And Hydraulic Studies Of River With Reference To The Pune Metro Rail Alignment (1.7 Km) Passing Through Mutha River And Suggest Measures To Mitigate The Side Effects,"Mitcon Consultancy And Engineering Services Ltd., Pune",43191,44286,,6 79661,ONG,Environmental Science And Ecology,Environmental Impact Assessment,River Hydrology And Hydraulics,Water Quality Assessment,Geotechnical Engineering,Biodiversity Conservation,Sustainable Development Practices,Project Management,Data Analysis And Interpretation,Communication And Advocacy,,,,,,,,
CNP,2,2363,LS,L. Singh,EBGD,EM & M,Green Belt Development On The Periphery Of Gosikhurd Dam,"Gosikhurd Dam Division (irrigatio Dept.), Bhandara",43259,44354,44926,20,ONG,Environmental Science And Ecology,Landscape Architecture And Design,Horticulture And Plantation,Soil Science And Irrigation,Watershed Management,Environmental Impact Assessment,Stakeholder Engagement And Public Consultation,Environmental Regulations And Compliance,Data Analysis And Interpretation,Report Writing And Communication,,,,,,,,
CNP,7,2364,SKG,S. K. Goyal,DZC,EM,Pilot Study On Evaluation Of Dust Suppressant For Control Of Road Dust Emissions,"Nitto Denko, Gurgaon (haryana)",43191,43921,44196,10,ONG,Air Quality Management,Road Engineering And Construction,Dust Suppressant Technologies,Experimental Design And Data Analysis,Environmental Monitoring And Sampling,Environmental Health And Impact Assessment,Project Management,Stakeholder Engagement And Community Participation,Sustainable Land Management Practices,Monitoring And Evaluation,,,,,,,,
CNP,2,2365,"NL, AG","N. Labhasetwar, A. Gupta",ERMD,ERM,Up-cycling Of Water Hyacinth Waste To Produce Solid Fuel,"Gosikhurd Project Circle (irrigation Dept.), Nagpur",43265,44012,,12,ONG,Waste Management,Biomass Conversion,Energy Engineering,Solid Fuel Production,Chemical Engineering,Environmental Impact Assessment,Environmental Regulations And Compliance,Project Management,Communication And Reporting,Sustainability And Cost-effectiveness Analysis,,,,,,,,
CNP,2,2366,"KK, BKS","K. Kalawapudi, B. K. Sarangi","MZC, EBGD",EM,"Assessment Of Alternatives For Widening Of National Highway Nh-50 For High Court Caj, Civil Application No. 13 Of 2017 In Pil Case No. 51 Of 2016","National Highway Division, Nashik",43252,43616,43830,12,ONG,Civil Engineering,Environmental Impact Assessment,Urban And Regional Planning,Infrastructure Design And Construction,Traffic Engineering And Management,Cost-benefit Analysis,Quality Control And Testing,Project Management,Economic Analysis,Communication And Marketing,,,,,,,,
CNP,2,2367,"KK, BSK","K. Kalawapudi, B. K. Sarangi","MZC, EBGD",EM,Assessment Of Alternatives To Tree-cutting For Widening Of Bhiwandi-kalyan-shilphata Highway In The State Of Maharashtra (civil Application No. 18 Of 2018 In Pil Case No. 119 Of 2017),"Maharashtra State Road Development Corporation Ltd., Mumbai",43252,43616,43830,15,ONG,Forestry And Arboriculture,Environmental Impact Assessment,Urban And Regional Planning,Sustainable Development And Conservation,Stakeholder Engagement And Public Consultation,Legal And Regulatory Compliance,Stakeholder Engagement And Public Consultation,Legal And Regulatory Compliance,Project Management,Communication And Reporting,,,,,,,,
CNP,2,2368,"RV, MSK","R. Vijay, M. Suresh Kumar","C-SUM, EISD",EIA,"Environmental Impact Assessment of Four Laning of Boulevard for Alleviated Highway-Dal Corridor Project and Western Foreshore Road, Srinagar","J & K Lakes And Waterways Development Authority, Srinagar",43282,44012,44834,52,ONG,Environmental Science And Ecology,Environmental Impact Assessment,Urban Planning And Design,Transportation Engineering,Hydrology And Water Resources,Air Quality And Noise Assessment,Project Management,Ecological Restoration And Reforestation,Communication And Reporting,Transportation Planning And Engineering,,,,,,,,
GAP,5,2369,PL,P. Labhasetwar,WTMD,WRWR,"Development Of A Strategy To Roll Out Water Safety Plan In Rajasthan, India- A Pilot In Dungarpur District","Unicef, Jaipur (rajasthan)",43205,43830,,3 05658,ONG,Water Resource Management,Water Quality Assessment,Water Safety Plan Development,Sanitation And Hygiene,Stakeholder Engagement And Capacity Building,Data Analysis And Geographic Information Systems,Cultural Heritage And Archaeology,Socio-economic Impact Assessment,Stakeholder Engagement And Public Consultation,Legal And Regulatory Compliance,,,,,,,,
CNP,7,2370,"MSK, PVN","M. Suresh Kumar, P. V. Nidheesh",EISD,EIA,"Soil And Groundwater Monitoring In Buffer Area Of Grasim Industries, Nagda","Grasim Industries, Nagda",43252,44347,44712,35,ONG,Environmental Monitoring And Assessment,Soil Sampling And Analysis,Groundwater Sampling And Analysis,Contaminant Transport And Fate,Environmental Regulations And Standards,Data Analysis And Modeling,Policy And Regulatory Compliance,Monitoring And Evaluation,Project Management,Nil,,,,,,,,
CNP,3,2371,SKG,S. K. Goyal,DZC,EM,"Study Of Flora And Fauna And Ash Characterization For Backfilling Of Ash From Ntpc Vidhyachal Stps In Mine Voids Of Gorbi Mines Of Northern Coalfields Ltd.,","Ntpc-thermal Power Station, Vindhyanagar (m.p.)",43282,44196,44561,60,ONG,Ecology And Biodiversity,Environmental Impact Assessment,Ash Characterization,Mine Reclamation And Rehabilitation,Environmental Monitoring,Geographic Information Systems,Risk Assessment And Management,Geographical Information Systems,Health And Safety Practices,Effective Communication And Reporting,,,,,,,,
CNP,7,2372,"TVBPSRK, SHK","T.V.B.P.S. Rama Krishna, S. Hariram Kumar",HZC,EM,"Adequacy Assessment For Sbp & Aac Plant Capacities And The Proposed Pac Unit At Grasim Industries Ltd., Rehl, Dist: Palamu, Jharkhand","Grasim Industries Ltd., Rehl, Dist: Palamu, Jharkhand",43252,44561,44742,3 6,ONG,Process Engineering,Plant Capacity Assessment,Techno-economic Analysis,Environmental Impact Assessment,Chemical Engineering,Industrial Plant Design,Stakeholder Engagement,Regulatory Compliance,Data Analysis And Reporting,Project Management,,,,,,,,
CNP,2,2373,"GK, LD","G. Khadse, L. Deshpande",WTMD,EM,Water Quality Monitoring Of The Gosikhurd Reservoir And Delineation Of Mitigation Measures For Minimization Of Pollution,"Gosikhurd Project Circle, Nagpur",43282,43646,43830,10,ONG,Environmental Science,Water Quality Monitoring,Pollution Assessment,Water Resource Management,Environmental Impact Assessment,Pollution Mitigation Techniques,Pollution Control Measures,Cost Estimation,Production Planning,Waste Management,,,,,,,,
GAP,1,2374,MPR,Meganathan P. R.,HZC,EM,Evaluation Of Viable Mycobacterium Tuberculosis Complex In Hospital Air Samples,"Department Of Biotechnology (dbt), New Delhi",43201,43596,43727,8,ONG,Microbiology,Epidemiology,Air Pollution And Its Effects On Human Health,Mycobacterial Culture And Identification,Molecular Biology And Dna Analysis,Infection Control And Prevention,Geographic Information Systems,Data Analysis And Modeling,Regulatory Knowledge,Effective Communication,,,,,,,,
TSP,2,2375,"RV, KK, BKS","R. Vijay, K. Kalawapudi, B. K. Sarangi","MZC, EBGD",EM,Assessment Of Impact Of Tree Cutting For Construction Of Drama Theatre (civil Application No. 30 Of 2017),"Nashik Municipal Corporation, Nashik",43282,43646,,4,ONG,Environmental Impact Assessment,Forestry And Arboriculture,Environmental Laws And Regulations,Ecological Assessment,Urban Planning And Landscape Architecture,Stakeholder Engagement,Data Analysis And Statistics,Biosafety And Biosecurity,Research Ethics And Regulatory Compliance,Effective Communication,,,,,,,,
--,2,2376,"RV, ST","R. Vijay, S. Tandon",MZC,EM,"Health Survey Of Ujani Dam Area Of The River Bhima, Solapur District For Mpcb","Maharashtra Pollution Control Board (mpcb), Mumbai",43252,43616,44316,26,ONG,Public Health,Health Survey Methodology,Environmental Health And Pollution,Community Engagement And Communication,Data Collection And Analysis,Occupational And Environmental Medicine,Data Collection And Analysis,Risk Assessment And Management,Report Writing And Presentation,Project Management,,,,,,,,
GAP,1,2377,SD,S. Dhyani,WTMD,Nil,Carbon Sequestration Potential Of Diatom Algae To Ensure Strategic Conservation Of Urban Wetlands Of Vidarbha Region,"Science & Engineering Research Board (serb), New Delhi",43192,43923,44926,20.26,ONG,Wetland Ecology,Algal Biology,Carbon Sequestration,Environmental Monitoring,Wetland Restoration And Conservation,Biogeochemistry,Research Ethics And Regulatory Compliance,Health Impact Assessment,Report Writing And Presentation,Collaboration And Coordination,,,,,,,,
GAP,1,2378,SK,S. Kumar,TDC,SHWM,Landfill Fire Control Mechanism Through Integrated Approach,"Department Of Science & Technology (dst), New Delhi",43283,44377,44607,12 716,ONG,Fire Science And Technology,Landfill Operations And Management,Fire Suppression Techniques,Air Quality,Waste Characterization And Hazardous Materials,Risk Assessment And Management,Ecological Data Analysis,Geographic Information Systems,Environmental Policy And Planning,Air Pollution Control,,,,,,,,
CNP,7,2379,MSK,M.S.Kumar,EISD,EIA,"Eia For Greenfield Soda Ash Project At Taluka Mandavi Of District Kutch, Gujarat","Ghcl Ltd., Sutrapada (gujarat)",43313,44408,44773,7 65,ONG,Environmental Impact Assessment,Soda Ash Production,Air Quality And Emissions Assessment,Water Resources And Quality,Soil And Land Management,Biodiversity And Ecological Assessment,Emergency Response And Preparedness,Waste-to-energy Technologies,Interdisciplinary Collaboration,Environmental Regulations And Compliance,,,,,,,,
TSP,2,2380,RV,R. Vijay,MZC,EM,Drafting Of Action Plan For Cleanup Of Polluted River Stretches,"Maharashtra Pollution Control Board (mpcb), Mumbai",43313,43677,,10,ONG,Environmental Science,Water Quality Assessment,Water Quality Monitoring,Remediation Technologies,Policy And Regulations,Stakeholder Engagement,Noise And Vibration Assessment,Socioeconomic And Community Impacts,Waste Management,Environmental Regulations And Compliance,,,,,,,,
GAP,1,2381,SB,S. Bhowmick,KZC,Toxicogenomics,"Risk Assessment From Multi-metal Exposure For The Population In Arsenic Affected Areas Of West Bengal, India And Possible Mitigation Strategy","Department Of Biotechnology (dbt), New Delhi",43307,44402,44771,45,ONG,Environmental Science,Risk Assessment,Toxicology,Epidemiology,Geochemistry,Public Health,Project Management,Environmental Impact Assessment,Data Analysis And Reporting,Public Health And Safety,,,,,,,,
CNP,7,2382,RS,R. Sivacoumar,ChZC,EQA,"Eqa Of The Beach Resort & Theme Park Site Of M/s. Gem Stone Beach Resorts (p) Ltd., Muttukadu, Chennai","Gem Stone Beach Resorts (p) Ltd., Muttukadu, Chennai",43374,44135,,13,ONG,Environmental Science,Environmental Impact Assessment,Regulatory Knowledge,Site Assessment And Monitoring,Ecosystem Conservation,Noise And Vibration Assessment,Water Quality Analysis,Mitigation Strategies,Community Engagement,Policy And Regulations,,,,,,,,
GAP,1,2383,RV,R. Vijay,MZC,Nil,Traffic Junction Air Pollution Abatement Plan,"Department Of Science & Technology (dst), New Delhi",43344,44438,,12 56,ONG,Air Quality Monitoring,Air Pollution Sources And Dispersion,Traffic Engineering,Transportation Planning,Emission Control Technologies,Urban Planning And Design,Water Resource Management,Waste Management,Stakeholder Engagement,Environmental Report Writing,,,,,,,,
TSP,7,2384,SR,S. Rayalu,EMD,Nil,Green Crackers For Reduced Emissions,"Sri Kaliswari Fireworks Pvt. Ltd., Sivakasi (tn)",43252,43799,,62,ONG,Fireworks And Pyrotechnics,Green Chemistry,Emission Reduction Technologies,Air Pollution Monitoring,Material Science And Engineering,Safety And Regulatory Compliance,Policy And Regulations,Health Impacts Of Air Pollution,Stakeholder Engagement,Data Analysis And Modeling,,,,,,,,
GAP,1,2385,RJ,R. Jain,KZC,Toxicogenomics,Treatment Of Dumpsite Leachate By Indigenous Microflora,"Department Of Biotechnology (dbt), New Delhi",43328,44059,44561,2 29,ONG,Environmental Microbiology,Bioremediation,Waste Management,Wastewater Treatment,Microbial Ecology,Analytical Chemistry,Water Conservation,Packaging And Design,Public Perception And Communication,Collaboration And Partnerships,,,,,,,,
CNP,7,2386,"RB, SP","R. Biswas, S. Pal",WWT,Wastewater,Treatment And Recovery Of Ammonium Sulphate And Phenol From The Spent Mother Liquor Of A.D.Bhanarkarl-parahydroxy Phenyl Glycine Production Process,"Dcm Shriram Industries, Daurala Organics, Daurala (u.p.)",43313,44043,,12,ONG,Chemical Engineering,Process Engineering,Separation Processes,Waste Management,Environmental Engineering,Analytical Chemistry,Organic Chemistry,Industrial Chemistry,Material Science,Biochemistry,,,,,,,,
GAP,1,2387,KG,K. Gandhi,EISD,Nil,Monitoring Of Pesticide Residues At National Level,"Indian Agricultural Research Institute (iari), New Delhi",43282,43646,45382,20,ONG,Pesticide Chemistry And Toxicology,Analytical Chemistry,Food Safety Regulations And Policies,Agricultural Practices And Crop Management,Environmental Monitoring And Assessment,Risk Assessment And Management,Data Analysis And Interpretation,Quality Control And Assurance,Public Health And Epidemiology,Communication And Outreach Strategies.,,,,,,,,
CNP,7,2388,SR,S. Rayalu,EMD,Nil,Broad Band Absorption Cell (bbc) With Enhanced Efficiency Of Pv For Hot Water And Electricity,"Nocil Ltd., Mumbai",43282,43921,,15,ONG,Broadband Absorption Technology,Photovoltaic Pv Systems,Solar Thermal Systems,Energy Efficiency,Heat Transfer,Materials Science,Optics,Electrical Engineering,Mechanical Engineering,Renewable Energy Policy And Regulations.,,,,,,,,
GAP,1,2389,KK,K. Kumari,EISD,Nil,Field Validation Of Biomarkers (validbio) For Monitoring Of Pollution In Water Bodies,"Science & Engineering Research Board (serb), New Delhi",43374,44469,44712,2 642,ONG,Environmental Science,Analytical Chemistry,Biochemistry,Microbiology,Toxicology,Water Quality Management,Environmental Monitoring,Statistical Analysis,Data Interpretation,Regulatory Compliance,,,,,,,,
GAP,1,2390,SK,S. Kumar,TDC,SHWM,Economic Non-food Sugar From Variable Mixed Solid Waste For High Value Chemical Products,"Department Of Biotechnology (dbt), New Delhi",43353,44439,,2 3,ONG,Waste Management,Chemical Engineering,Industrial Biotechnology,Environmental Science,Material Science,Process Engineering,Sustainable Development,Renewable Energy,Economic Analysis And Modeling,Market Research And Analysis.,,,,,,,,
TSP,1,2391,KK,K. Kumari,EISD,EISD,Taxonomic Identification Of Microinvertebrates In Biological Testing,"Central Pollution Control Board (cpcb), Delhi",43344,43555,43951,97458,ONG,Taxonomy,Morphological Identification Of Microinvertebrates,Molecular Identification Techniques,Sampling And Collection Methods,Biological Testing Methods And Protocols,Environmental Monitoring And Assessment,Statistical Analysis And Interpretation Of Data,Taxonomic Databases And Software,Taxonomic Nomenclature And Terminology,Quality Control And Assurance,,,,,,,,
TSP,1,2392,RV,R. Vijay,MZC,LWM,"Tender Preparation, Publicatio, Evaluation, Selection Of Agency And Overall Supervision Of Setting Up Of Etp And Stp At Csir-iiim","Csir-iiim, Jammu",43235,43965,44712,11864,ONG,Environmental Engineering,Water Treatment Technologies,Waste Water Treatment Technologies,Project Management,Procurement And Contract Management,Environmental Regulations And Compliance,Environmental Impact Assessment,Technical Writing And Documentation,Budgeting And Financial Management,Quality Control And Assurance.,,,,,,,,
CNP,7,2393,"SB, MK, SRS","S. Basha, M. Kalita, S. R. Sanam",HZC,EA,"Comprehensive Groundwater Quality Assessment And Pollution Source Identification Using Stable Isotopic And Groundwater Modeling Studies In And Around Chemical Division, Gil, Nagda","Grasim Industries Ltd., Nagda",43405,45230,,9 65,ONG,Groundwater Hydrology,Stable Isotopes In Groundwater,Groundwater Modeling,Water Quality Analysis,Environmental Chemistry,Pollution Source Identification,Chemical Engineering,Industrial Processes And Waste Management,Environmental Regulations And Policies,Risk Assessment And Management.,,,,,,,,
CNP,7,2394,"NL, AG","N. Labhasetwar, A. Gupta",ERMD,APM,H2s Emission Testing Of Relbits During Hot Mixing Of Bitumen,"Reliance Industries Ltd., Vadodara (gujarat)",43383,43921,45169,5,ONG,Bitumen Production And Processing,Hot Mixing Of Bitumen,Environmental Regulations And Compliance,Chemical Analysis And Testing Methods,Gas Detection And Monitoring Equipment,Health And Safety Protocols For Hazardous Materials,Data Analysis And Interpretation,Quality Control And Assurance,Project Management And Planning,Technical Report Writing And Communication Skills.,,,,,,,,
CNP,2,2395,RV,R. Vijay,MZC,EM,"Air Quality Assessment Regarding Rehabilitation In The Area Of Eversmile Layout, Mahul, Chembur","Maharashtra Pollution Control Board (mpcb), Mumbai",43374,44316,,45,ONG,Environmental Science,Air Pollution Control,Chemical Engineering,Environmental Engineering,Public Health,Urban Planning,Geographic Information Systems,Industrial Hygiene,Public Health And Safety,Community Health And Development,,,,,,,,
CNP,7,2396,"RR, PRM","R. Ram, P. R. Meganathan",HZC,EM,"Evaluation Of Water Atm's (anytime Water Kiosks) Installed In Hyderabad City, Telangana State","Josab India Pvt. Ltd., Pune",43344,44074,,95,ONG,Water Management,Water Quality Testing,Public Health And Safety,Engineering And Infrastructure,Financial Analysis And Budgeting,Data Analysis And Statistics,Community Engagement And Outreach,Policy And Regulation,Sustainability And Environmental Impact,Technology And Innovation In Water Supply Systems.,,,,,,,,
CNP,7,2397,"RV, SAT, S","R. Vijay, S. A. Tandon, Sunayan",MZC,EM,"Carrying Capacity Study For Expansion Of Plant Capacity From 5 To 10 Mtpa At Jsw Steel Ltd., Dolvi","Jsw Steel Ltd., Raigad (maharashtra)",43405,44135,45016,160,ONG,Industrial Engineering,Mechanical Engineering,Electrical Engineering,Chemical Engineering,Environmental Science,Geology,Logistics And Supply Chain Management,Project Management,Financial Analysis And Forecasting,Market Research And Analysis,,,,,,,,
CNP,2,2398,JJ,J. Joseph,CHWMD,Nil,Preparation Of I & D And Stp Scheme Dpr For Nine Towns Under The Tributaries Of River Ganga,"Bihar Urban Infrastructure Development Corporation Ltd., Patna (bihar)",43382,43746,44926,225,ONG,Water Resource Management,Environmental Engineering,Hydrology,Geology,Civil Engineering,Urban Planning,Project Management,Stakeholder Engagement,Cost Estimation And Budgeting,Policy And Regulatory Compliance.,,,,,,,,
CNP,7,2399,KK,K. Kumari,EISD,EISD,"Assessment And Environmental Fate Of Methylated Tetra, Penta And Hexa Cyclosifoxane","Recycling And Environment Uindustry Association Of India (reiai), New Delhi",43374,44469,45016,15,ONG,Organic Chemistry,Environmental Chemistry,Toxicology,Analytical Chemistry,Environmental Science,Chemical Engineering,Risk Assessment,Environmental Policy,Environmental Law,Environmental Remediation,,,,,,,,
